value,trait_type,asset_id
Pale,Skin,101
Samurai Bow,Weapon,101
White KGF Pattern,Background,101
Devil Hunter,Clothes,101
White Glow Eyes,Eyes,101
Dark Buns,Hair,101
Grey Gradient,Background,102
Crimson Kimono,Clothes,102
Monochrome Eyes,Eyes,102
Short Bangs with Earrings,Hair,102
Vampire Cute Grin,Mouth,102
Tanline,Skin,102
AR-15,Weapon,102
Pale,Skin,103
Devil Wings,Weapon,103
Dark KGF Pattern,Background,103
Red Mesh Jacket,Clothes,103
Heart Eyes,Eyes,103
Scouter,Eyewear,103
Dark Buns,Hair,103
O Smile,Mouth,103
O Smile,Mouth,104
Pale,Skin,104
GF Heart White,Background,104
Wink,Eyes,104
Long Silver Hairclip Bangs,Hair,104
Dark Devil Wings,Hat,104
Red Death,Clothes,104
Black Glasses,Eyewear,104
Red Chomps,Weapon,104
Black Hairband,Hat,105
Snaggle Tooth,Mouth,105
Bloody Dark,Skin,105
Android Dress,Clothes,105
Android Eyemask,Eyewear,105
Quinn Hair,Hair,105
Floating Knives,Weapon,105
Pink Gradient,Background,105
Pink Eyes,Eyes,105
Heterochromia,Eyes,106
Short Bangs with Earrings,Hair,106
Gold Halo,Hat,106
X Mask,Mouth,106
Bloody Pale,Skin,106
Red Rocket,Weapon,106
Purple Solid,Background,106
Red Heart Dress,Clothes,106
GF Heart White,Background,107
Shy Light Blue,Eyes,107
Visor,Eyewear,107
Silver Halo,Hat,107
Blue Lick,Mouth,107
Red Heart Dress,Clothes,107
Long Dark Bangs,Hair,107
Dark,Skin,107
Devil Spears,Weapon,107
Kitty Ghosts,Weapon,108
White KGF Pattern,Background,108
Poison Top,Clothes,108
Wink,Eyes,108
Light Buns,Hair,108
Demon Mask,Mouth,108
Pale,Skin,108
Pink Glasses,Eyewear,109
Devil Red Horns,Hat,109
Blue Open Mouth,Mouth,109
Pale,Skin,109
White KGF Pattern,Background,109
White Turtleneck,Clothes,109
Spiral Prism Eyes,Eyes,109
Short Bangs with Earrings,Hair,109
Quinn Bat,Weapon,109
Vampblade,Weapon,110
Crimson Hole,Background,110
White X Dress,Clothes,110
Dark Blue Eyes,Eyes,110
Mecha Pilot Twintails,Hair,110
Dark Devil Wings,Hat,110
Lip Bite Red,Mouth,110
Bloody Light,Skin,110
Brown Flowy Buns,Hair,111
Metal Horns,Hat,111
Silver Cybermask,Mouth,111
Light,Skin,111
Dual Saber,Weapon,111
Grey Gradient,Background,111
Dark Heart Maid,Clothes,111
Dark Blue Eyes,Eyes,111
Blonde Flowy Hair,Hair,112
Snaggle Tooth,Mouth,112
Dark,Skin,112
Kitty Ghosts,Weapon,112
Crimson Explosion,Background,112
Punk Bot Shirt,Clothes,112
Heart Eyes,Eyes,112
Diamond Glasses,Eyewear,112
White,Background,113
HODL Jacket,Clothes,113
Spiral Prism Eyes,Eyes,113
Pink Punk Hair,Hair,113
Blue Open Mouth,Mouth,113
Light,Skin,113
Ghost Blade,Weapon,113
3D Glasses,Eyewear,114
Brown Flowy Buns,Hair,114
Vampire Cute Grin,Mouth,114
Light,Skin,114
AR-15,Weapon,114
Grey Gradient,Background,114
All-seeing Hoodie,Clothes,114
Cute Angry Eyes,Eyes,114
3D Glasses,Eyewear,115
Dreadlock Hair,Hair,115
Tongue out,Mouth,115
Tanline,Skin,115
Quinn Bat,Weapon,115
GF Heart Invert,Background,115
Grey Hoodie,Clothes,115
Dark Blue Eyes,Eyes,115
Pink Gradient,Background,116
Z Jacket,Clothes,116
Shy Light Blue,Eyes,116
Red Devil Braids,Hair,116
Snaggle Tooth,Mouth,116
Dark,Skin,116
Red Rocket,Weapon,116
Punk Bot Shirt,Clothes,117
Quinn Hair,Hair,117
Gatling Gun,Weapon,117
White Hole,Background,117
Dark Blue Eyes,Eyes,117
Scouter,Eyewear,117
Black Ribbon,Hat,117
Bubblegum,Mouth,117
Tanline,Skin,117
Pale,Skin,118
Devil Scythe,Weapon,118
Crimson Ripple,Background,118
Assassin,Clothes,118
Psycho Eyes,Eyes,118
Neko Hair,Hair,118
Silver Cybermask,Mouth,118
White KGF Pattern,Background,119
Goth,Clothes,119
Yandere Stare,Eyes,119
Dark Buns,Hair,119
Silver Halo,Hat,119
Red Lick,Mouth,119
Dark,Skin,119
Ghost Blade,Weapon,119
Defiant School Girl,Clothes,120
Heterochromia,Eyes,120
Diamond Glasses,Eyewear,120
Short Bangs with Earrings,Hair,120
Open Smile,Mouth,120
Light,Skin,120
Sayanaura,Weapon,120
White KGF Pattern,Background,120
Purple Gradient,Background,121
HODL Jacket,Clothes,121
Dark Blue Eyes,Eyes,121
Shades,Eyewear,121
Maniac Hair,Hair,121
Lip Bite Red,Mouth,121
Dark,Skin,121
Kitty Ghosts,Weapon,121
Dark Frown,Mouth,122
Bloody Tanline,Skin,122
Chainsaw,Weapon,122
White KGF Pattern,Background,122
White Star Dress,Clothes,122
Pink Eyes,Eyes,122
Eye Patch White,Eyewear,122
Long Dark Bangs,Hair,122
Shy Blue Eyes,Eyes,123
